,newdata.user_id,newdata.created_at,newdata.screen_name,newdata.text,newdata.source,newdata.display_text_width,newdata.reply_to_status_id,newdata.reply_to_user_id,newdata.reply_to_screen_name,newdata.is_quote,newdata.is_retweet,newdata.favorite_count,newdata.quote_count,newdata.reply_count,newdata.location,score
0,2488356031,2022-06-13 06:22:05,bacton2,DEAR BBCNEWS BEFORE ANYBODY STARTS TO WATCH YOUR BIAS NEWS REPORTS ON RWANDA I CAN REPORT THAT EVERYONE IN THE PUB LAST NIGHT IS DELIGHTED THE FLIGHTS ARE GOING AHEAD,Twitter Web App,139,,,,False,True,0,,,,positiva
1,443153513,2022-06-13 06:22:03,ZANewsFlash,DUBAIBASED NEWSPAPER THE NATIONAL REPORTS THAT THE GUPTA FAMILY LIVED FOR A FEW YEARS WITH THEIR FAMILIES IN THE PALATIAL AND EXCLUSIVE EMIRATES HILLS COMMUNITY IN DUBAI,Twitter Web App,195,,,,False,False,0,,,Southern Africa ,negativa
2,803841721624887040,2022-06-13 06:21:49,aeckevin,THE HK GOVTS 25TH HANDOVER ANNIVERSARY WEBSITE INCLUDES A SECTION FOR MEDIA REPORTS FEATURING THE ECONOMIST AT THE TOP WHAT ARE THESE MEDIA REPORTS ER PAID ADVERTISEMENT FEATURES ACTUALLY CLEARLY THEY COULDNT FIND ONE COMPLIANT NEWS OUTLET TO WRITE A PUFF PIECE,Twitter for iPhone,140,,,,False,True,0,,,Hong Kong,positiva
3,307917928,2022-06-13 06:19:46,Jackie___P,STOP REPEATING STUFF YOU DONT KNOW IS TRUE NOBODY KNOWS WHO THE SOURCE IS THEY ARE TROUBLEMAKERS NEWS CHANNELS NEED TO STOP USING UNCONFIRMED REPORTS GBNEWS,Twitter for Android,160,,,,False,False,0,,,,positiva
4,144749482,2022-06-13 06:19:38,LAMBERT_S1,TRUMP CE QUE LES FAKES NEWS NE VOUS MONTRERONT JAMAIS DONALD TRUMP SUR POUTINE EN 2017 EN MOINS DUNE MINUTE IL AVAIT TOUT RSUM TRUMPWASRIGHTABOUTEVERYTHING,Twitter for iPhone,140,,,,False,True,0,,,France mon beau pays,neutral/SI
5,953606642792386048,2022-06-13 06:19:33,anna_kouadio,NORTH KOREAN LEADER KIM JONG UN EXPRESSED FULL SUPPORT FOR PUTIN PEOPLE HAVE ACHIEVED SUCCESS IN ACCOMPLISHING THE JUST CAUSE OF DEFENDING THE DIGNITY OF THEIR COUNTRY WHILE BRAVING CHALLENGES UNDER THE GUIDANCE OF THE PRESIDENT NEWS AGENCY REPORTS,Twitter for iPhone,140,,,,False,True,0,,,"Vaud, Suisse",positiva
6,114699983,2022-06-13 06:18:33,IrelandAMVMTV,JUST ANOTHER MANIC MONDAY ITS ALWAYS A LAUGH A MINUTE WHEN THESE TWO ARE TOGETHER JOIN MUIREANN AMP TOMMY UNTIL 10AM FOR PLENTY OF ENTERTAINING ELEMENTS AND YOUR LATEST NEWS SPORT AND WEATHER IRELANDAM,Twitter for iPhone,215,,,,False,False,1,,,"Ballymount, Dublin.",positiva
7,1549916598,2022-06-13 06:18:17,newstracklive,8 48 CORONA INDIA COVID19CASES DEATH NEWSTRACKLIVE,dlvr.it,176,,,,False,False,0,,,"New Delhi, India",neutral/SI
8,1549916598,2022-06-12 15:46:41,newstracklive,BJP MPNIKAYCHUNAV MPPANCHAYATELECTION ELECTION NEWSTRACKLIVE,dlvr.it,193,,,,False,False,0,,,"New Delhi, India",neutral/SI
9,31088043,2022-06-13 06:18:04,nivrae,MILO HAS BIG NEWS TINYKIN IS COMING TO PC AND CONSOLES ON AUGUST 30TH 2022 STRIDE INTO THE COUNTDOWN MONTHS WITH THE RELEASE DATE ANNOUNCEMENT TRAILER FEATURED FUTUREGAMESSHOW NOW WATCH THE TRAILER AND KNOW YOUR MINI MATES BETTER,Twitter for Android,140,,,,False,True,0,,,Paris,positiva
10,329708303,2022-06-13 06:17:49,debrob1947,ANGRYSTAFFER I SAW THIS STORY SINCE I LIVE 30 MILES FROM CDA INTERESTING HOW WHAT I SAW ON THE VERY FIRST NEWS REPORTS ARE NO LONGER AVAILABLE IT WAS VIDEO OF A LARGE GROUP OF THEIR FACES COVERED BY WHITE NECK GATORS OR WHITE BALACLAVAS SKIING IN COLD WITH HUGE EYE HOLES CUT LIKE KKK,Twitter for iPad,140,,,,False,True,0,,,"North Carolina, USA",positiva
11,949407894394556032,2022-06-13 06:17:05,ReggieMeezer,CANADIAN MEDIA REPORTS ON THE NAZI AZOV BATTALION IN UKRAINE BEFORE THE CONFLICT ESCALATED ALSO CHECK OUT THAT COLLAGE OF NEWS TALKING ABOUT THE NAZIS WHICH THEY NOW CLAIM DONT EXIST,Twitter Web App,140,,,,False,True,0,,,"South Bend, IN",neutral/SI
12,1263354912001440000,2022-06-13 06:17:00,wilf12339264,DEAR BBCNEWS BEFORE ANYBODY STARTS TO WATCH YOUR BIAS NEWS REPORTS ON RWANDA I CAN REPORT THAT EVERYONE IN THE PUB LAST NIGHT IS DELIGHTED THE FLIGHTS ARE GOING AHEAD,Twitter Web App,139,,,,False,True,0,,,,positiva
13,762728510267863040,2022-06-13 01:54:12,caroljdavy,REQUEST DENIED REP MATT GAETZ ALLEGEDLY SOUGHT A BLANKET PRESIDENTIAL PARDON FROM DONALD TRUMP IN THE CLOSING WEEKS OF HIS ADMINISTRATION A REQUEST WHICH WAS ULTIMATELY NOT FULFILLED ACCORDING TO NEWS REPORTS,Twitter for iPhone,139,,,,False,True,0,,,"Los Angeles, CA",negativa
14,1500110255463749888,2022-06-13 06:16:16,InCiDeR21,CANADIAN MEDIA REPORTS ON THE NAZI AZOV BATTALION IN UKRAINE BEFORE THE CONFLICT ESCALATED ALSO CHECK OUT THAT COLLAGE OF NEWS TALKING ABOUT THE NAZIS WHICH THEY NOW CLAIM DONT EXIST,Twitter Web App,140,,,,False,True,0,,,Beyond Meta,neutral/SI
15,826583600057430016,2022-06-13 06:16:03,LindaWolff19,HI HALLMARKCHANNEL WE HEARTIES ARE STILL PATIENTLY WAITING FOR THE SEASON 10 ANNOUNCEMENT I REALLY MISS THIS LITTLE BOY HOPEFULLY WELL HEAR THE GOOD NEWS SOON ALLINFORSEASON10 LUCABETH WEAREHOPEVALLEY WCTH,Twitter for Android,139,,,,False,True,0,,,,positiva
16,1348254295976760064,2022-06-13 06:15:40,GregLarssen,RLF RLFTF RLFTY RELIEF THERAPEUTICS RELIEFS NEXT DAY PR CONFIRMING THE NEWS FROM NRX ABOUT THE DENIED BREAKTHROUGH THERAPY DESIGNATION FOR THE ZYESAMI VERSION OF AVIPTADIL,Twitter Web App,206,,,,False,False,0,,,Perpignan (France),neutral/SI
17,1411670130019290112,2022-06-13 06:14:11,esoftnt,THE HK GOVTS 25TH HANDOVER ANNIVERSARY WEBSITE INCLUDES A SECTION FOR MEDIA REPORTS FEATURING THE ECONOMIST AT THE TOP WHAT ARE THESE MEDIA REPORTS ER PAID ADVERTISEMENT FEATURES ACTUALLY CLEARLY THEY COULDNT FIND ONE COMPLIANT NEWS OUTLET TO WRITE A PUFF PIECE,Twitter Web App,140,,,,False,True,0,,,,positiva
18,1499590400314469888,2022-06-13 06:11:42,poponishi963,GOOD DAY BUDS NEW PROJECT ON THE MARKET PLEASE CHECK ANNOUNCEMENT FOR GREAT NEWS COMING SOON FURTHER INFORMATION WILL BE AVAILABLE SOON STAY TUNED,Twitter for Android,140,,,,False,True,0,,,,positiva
19,1288573871893939968,2022-06-13 06:11:38,LiberMinerva,THE BEAUTY OF NEWS REPORTS ON GYMNASTICS ABUSE IS THAT IN THE CURRENT ABSENCE OF A WORLDWIDE PUBLIC REGISTER OF DISCIPLINARY SANCTIONS WHEREVER THESE ABUSIVE COACHES NOW WORK OR TRAVEL SAFEGUARDING CONCERNS STILL TRAVEL WITH THEM VIA THE INTERNET 12,Twitter Web App,255,,,,False,False,1,,,,negativa
20,288275234,2022-06-13 06:11:33,manchan1213,SO I AM EXPECTING FOR JIEUNS NEXT BIG ANNOUNCEMENT WILL BE CONCERT TOUR OR HUGE CASTING NEWS OR BOTH LOL I WANT HER TO GET SOME MUCH NEEDED REST BUT KNOWING OUR GIRL SHES JUST GOING TO KEEP BUSY AND WORKING,Twitter for Android,140,,,,False,True,0,,,,positiva
21,1533362328711719936,2022-06-13 06:09:01,a2zumi,THE HK GOVTS 25TH HANDOVER ANNIVERSARY WEBSITE INCLUDES A SECTION FOR MEDIA REPORTS FEATURING THE ECONOMIST AT THE TOP WHAT ARE THESE MEDIA REPORTS ER PAID ADVERTISEMENT FEATURES ACTUALLY CLEARLY THEY COULDNT FIND ONE COMPLIANT NEWS OUTLET TO WRITE A PUFF PIECE,Twitter for iPhone,140,,,,False,True,0,,,New Zealand,positiva
22,1339346295606149888,2022-06-13 06:08:41,noeeliamn,DEVASTATING NEWS RIP COOPER NORIEGA LIFE IS FRAGILE ENJOY EVERY MINUTE,Twitter for iPhone,112,,,,False,True,0,,,,negativa
