,user_id,newdata.created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,quote_count,reply_count,location,score
0,2488356031,13/06/2022 06:22,bacton2,DEAR BBCNEWS BEFORE ANYBODY STARTS TO WATCH YOUR BIAS NEWS REPORTS ON RWANDA I CAN REPORT THAT EVERYONE IN THE PUB LAST NIGHT IS DELIGHTED THE FLIGHTS ARE GOING AHEAD,Twitter Web App,139,,,,False,True,0,,,,positiva
1,443153513,13/06/2022 06:22,ZANewsFlash,DUBAIBASED NEWSPAPER THE NATIONAL REPORTS THAT THE GUPTA FAMILY LIVED FOR A FEW YEARS WITH THEIR FAMILIES IN THE PALATIAL AND EXCLUSIVE EMIRATES HILLS COMMUNITY IN DUBAI,Twitter Web App,195,,,,False,False,0,,,Southern Africa ,negativa
2,8.03842E+17,13/06/2022 06:21,aeckevin,THE HK GOVTS 25TH HANDOVER ANNIVERSARY WEBSITE INCLUDES A SECTION FOR MEDIA REPORTS FEATURING THE ECONOMIST AT THE TOP WHAT ARE THESE MEDIA REPORTS ER PAID ADVERTISEMENT FEATURES ACTUALLY CLEARLY THEY COULDNT FIND ONE COMPLIANT NEWS OUTLET TO WRITE A PUFF PIECE,Twitter for iPhone,140,,,,False,True,0,,,Hong Kong,positiva
3,307917928,13/06/2022 06:19,Jackie___P,STOP REPEATING STUFF YOU DONT KNOW IS TRUE NOBODY KNOWS WHO THE SOURCE IS THEY ARE TROUBLEMAKERS NEWS CHANNELS NEED TO STOP USING UNCONFIRMED REPORTS GBNEWS,Twitter for Android,160,,,,False,False,0,,,,positiva
4,144749482,13/06/2022 06:19,LAMBERT_S1,TRUMP CE QUE LES FAKES NEWS NE VOUS MONTRERONT JAMAIS DONALD TRUMP SUR POUTINE EN 2017 EN MOINS DUNE MINUTE IL AVAIT TOUT RSUM TRUMPWASRIGHTABOUTEVERYTHING,Twitter for iPhone,140,,,,False,True,0,,,France mon beau pays,neutral/SI
5,9.53607E+17,13/06/2022 06:19,anna_kouadio,NORTH KOREAN LEADER KIM JONG UN EXPRESSED FULL SUPPORT FOR PUTIN PEOPLE HAVE ACHIEVED SUCCESS IN ACCOMPLISHING THE JUST CAUSE OF DEFENDING THE DIGNITY OF THEIR COUNTRY WHILE BRAVING CHALLENGES UNDER THE GUIDANCE OF THE PRESIDENT NEWS AGENCY REPORTS,Twitter for iPhone,140,,,,False,True,0,,,"Vaud, Suisse",positiva
6,114699983,13/06/2022 06:18,IrelandAMVMTV,JUST ANOTHER MANIC MONDAY ITS ALWAYS A LAUGH A MINUTE WHEN THESE TWO ARE TOGETHER JOIN MUIREANN AMP TOMMY UNTIL 10AM FOR PLENTY OF ENTERTAINING ELEMENTS AND YOUR LATEST NEWS SPORT AND WEATHER IRELANDAM,Twitter for iPhone,215,,,,False,False,1,,,"Ballymount, Dublin.",positiva
7,1549916598,13/06/2022 06:18,newstracklive,8 48 CORONA INDIA COVID19CASES DEATH NEWSTRACKLIVE,dlvr.it,176,,,,False,False,0,,,"New Delhi, India",neutral/SI
8,1549916598,12/06/2022 15:46,newstracklive,BJP MPNIKAYCHUNAV MPPANCHAYATELECTION ELECTION NEWSTRACKLIVE,dlvr.it,193,,,,False,False,0,,,"New Delhi, India",neutral/SI
9,31088043,13/06/2022 06:18,nivrae,MILO HAS BIG NEWS TINYKIN IS COMING TO PC AND CONSOLES ON AUGUST 30TH 2022 STRIDE INTO THE COUNTDOWN MONTHS WITH THE RELEASE DATE ANNOUNCEMENT TRAILER FEATURED FUTUREGAMESSHOW NOW WATCH THE TRAILER AND KNOW YOUR MINI MATES BETTER,Twitter for Android,140,,,,False,True,0,,,Paris,positiva
