0,"London, England",410
1,London,268
2,United Kingdom,191
3,"England, United Kingdom",147
4,United States,128
5,she/her,81
6,Pale Blue Dot,81
7,India,75
8,"Los Angeles, CA",67
9,"London, UK",65
10,"Glasgow, Scotland",61
11,USA,53
12,"California, USA",52
13,"Manchester, England",51
14,Canada,50
15,Scotland,48
16, ,47
17,England,47
18,Australia,44
19,"New York, USA",43
20,"New York, NY",41
21,"Washington, DC",35
22,"Scotland, United Kingdom",35
23,"Texas, USA",33
24,Earth,32
25,Ireland,32
26,"Edinburgh, Scotland",32
27,"Chicago, IL",30
28,"Liverpool, England",30
29,"Toronto, Ontario",26
30,South Africa,25
31,"Florida, USA",24
32,"South East, England",24
33,"Nairobi, Kenya",23
34,New York City,23
35,"Lagos, Nigeria",23
36,Texas,22
37,"Sydney, New South Wales",22
38,Toronto,22
39,Nigeria,22
40,Glasgow,22
41,"North West, England",22
42,"Birmingham, England",21
43,Philippines,21
44,"Houston, TX",20
45,"Sheffield, England",20
46,"Seattle, WA",19
47,Indonesia,19
48,Malaysia,19
49,"Dallas, TX",19
50,"Leeds, England",19
51,Europe,19
52,New York,18
53,London ,18
54,"South West, England",18
55,"Melbourne, Victoria",17
56,"Belfast, Northern Ireland",17
57,Manchester,17
58,"Wales, United Kingdom",17
59,"West Midlands, England",17
60,Liverpool,17
61,"New Delhi, India",16
62,"Miami, FL",16
63,Planet Earth,16
64,"Atlanta, GA",16
65,"Philadelphia, PA",16
66,France,16
67,"Newcastle Upon Tyne, England",16
68,"Cardiff, Wales",16
69,Republic of the Philippines,15
70,she/her ,15
71,"Boston, MA",15
72,"Las Vegas, NV",15
73,Worldwide,15
74,"Paris, France",15
75,"Leicester, England",15
76,Wherever The Wind Blows,15
77,Melbourne,14
78,California,14
79,"Sydney, Australia",14
80,"Austin, TX",14
81,NYC,13
82,"Brooklyn, NY",13
83,"Portland, OR",13
84,"East Midlands, England",13
85,Bristol,13
86,Los Angeles,13
87,LDN,13
88,"Bristol, England",13
89,"Mumbai, India",12
90,"New Jersey, USA",12
91,Magic Shop,12
92,Jamaica,12
93,She/her,12
94,"London, United Kingdom",12
95,"Michigan, USA",11
96,"Auckland, New Zealand",11
97,Florida,11
98,  ,11
99,"San Diego, CA",11
100,"San Francisco, CA",11
101,"Vancouver, British Columbia",11
102,"Dublin, Ireland",11
103,"Bristol, UK",11
104,Wales,11
105,Northern Ireland,11
106,Essex,11
107,"Bitton, England ",11
108,"Chandigarh, India",10
109,"Phoenix, AZ",10
110,"Ontario, Canada",10
111,Japan,10
112,Chicago,10
113,"Kampala, Uganda",10
114,"Dublin City, Ireland",10
115,Birmingham,10
116,"Indiana, USA",10
117,"Pennsylvania, USA",10
118,Global,10
119,"Brighton, England",10
120,"Norwich, England",10
121,"Nottingham, England",10
122,"Cambridge, England",10
123,london,10
124,Belfast,10
125,Vancouver,9
126,New Zealand,9
127,"Oxford, England",9
128,"Colorado, USA",9
129,Mumbai,9
130,"Denver, CO",9
131,"Pittsburgh, PA",9
132,"Maryland, USA",9
133,"Johannesburg, South Africa",9
134,"Oakland, CA",9
135,Atlanta,9
136,"Orlando, FL",9
137,"Brisbane, Queensland",9
138,"Minneapolis, MN",9
139,Ghana,9
140,Dublin,9
141,"Nashville, TN",8
142,magic shop,8
143,"Seoul, Republic of Korea",8
144,"Kansas City, MO",8
145,Singapore,8
146,"Chennai, India",8
147,Brasil,8
148,"Montral, Qubec",8
149,"Raleigh, NC",8
